q_id,poi_name
1738,Diablo Canyon Switching Station 500kV
174,Devers-Venwind 115kV line
1745,Midway 230 kV
1748,Diablo Canyon - Morro Bay 230 kV and Diablo Canyon - Mesa 230 kV Lines
1749,Caliente 230 kV
175,Whirlwind Substation 230kV
1750,Diablo Canyon 500 kV
1758,Devers Substation 230kV
176,Margarita 138kV Substation
1762,Devers Substation 230kV
1765,Rio Hondo Substation 220kV
1766,Laguna Bell Substation 230kV
1767,El Nido Substation 230kV
1768,Mira Loma Substation 230kV
1769,Rio Hondo Substation 230kV
177,Bahia   Moraga 230 kV Line
1770,Mira Loma Substation 230kV
1778,Windhub Substation 230kV
178,Los Banos 230kV bus near Pacheco Pass
1780,Antelope Substation 66kV
1781,Goleta Substation 230kV
1783,Mandalay Switchyard 220kV
1784,Whirlwind Substation 230kV
1785,Whirlwind Substation 230kV
178A,Miguel 230kV Bus
178B,Imperial Valley  230kV Substation
179,Julian Hinds 230kV Substation
1791,Windhub Substation 230kV
1796,Eldorado Substation 230kV
18,Antelope
180,New 230kV Switchyard on the Mira Loma-Vista #2 line
1802,Otay Substation 69 kV
1803,Loop Loveland - Los Coches 69kV line
1805,Miramar-Scripps 69kV line
1806,Trabuco - Capistrano 138 kV Line
1807,Eastgate Substation 69kV
1808,Shadowridge Substation 138kV
1809,Borrego Substation 69kV
181,New  230kV switchyard on the Chino-Serrano line
1810,Otay Mesa Switchyard 230 kV
1811,Los Coches Substation 138 kV
1813,Bay Boulevard 230kV
1814,Encina Substation 138 kV
1815,Creelman Substation 69 kV
1816,Otay Mesa Substation 230kV
1818,Hassayampa Common Bus 500 kV
1819,Border-Salt Creek 69kV line
182,Windhub Substation
1820,Creelman Substation 69 kV
1821,Escondido Substation 230 kV
1824,East County Substation 500 kV
1825,Ocean Ranch Substation 69 kV
1827,Imperial Valley Substation 230kV
1828,Panoche 115 kV
1829,Victor Substation
183,East County (ECO) Substation 230kV
1830,Oakland C Sub via Oakland C-Turbine 115 kV Line
1831,Morro Bay 230 kV
1832,Escondido Substation 69 kV
1833,Julian Hinds Substation 230 kV
1834,Otay Substation 69 kV
1835,Weber 60 kV
1836,Fulton 115 kV
1837,Ignacio 115 kV
1838,Lakeville 115 kV
1839,Apple Hill Substation  115 kV
184,Geysers #3-Cloverdale 115 kV line
1840,Vaca-Lakeville #1 230 kV Line
1841,Konocti Substation 60 kV
1842,Lambie 230 kV
1843,Lambie 230 kV
1845,Lakeville 60 kV
1846,Fulton 230 kV
1847,Vaca-Dixon 500 kV
1849,Gold Hill-Eight Mile Road 230 kV
185,Control Sub
1850,Birds Landing 230 kV
1853,Table Mountain 115 kV
1854,Vaca-Dixon 230 kV
1856,Vaca-Dixon 115 kV
1857,Fulton 115 kV
1858,Cottonwood-Delevan #1 and #2 230 kV
1859,Geysers #3-Cloverdale 115 kV Line
186,Stockton¿A¿-Lockeford-Bellota 115kV #1&#2 lines & Tesla-Tracy 115kV line
1862,at Switch 125 outside Harter Sub
1863,Cottonwood-Delevan #1 and #2 230 kV
1864,Greenleaf #1 115 kV Tap
1865,Green Valley 115 kV
1866,Santa Teresa 115 kV
1867,Schulte 115 kV
1869,Grant - Eastshore #2 line 115 kV
187,Geysers-Fulton 230kV transmission line
1871,Palermo 115 kV
1872,Pittsburg 115 kV
1873,Evergreen 115 kV
1874,Pittsburg 230 kV
1875,Pittsburg-Tesla #1 230 kV Line
1876,Valley Springs 60 kV
1877,Grant-Eastshore #1 115 kV Line
1878,Pittsburg-Kirker-Columbia Steel 115kV Line
1879,Tassajara - Newark 230 kV
188,Windhub Substation 230kV
1880,Oakland C 115 kV
1881,Tesla-Newark #1 230 kV Line
1882,Dumbarton-Newark 115 kV line
1883,Tesla-Tracy #1 230 kV line
1884,Llagas Substation 115 kV
1885,Newark Substation 230 kV
1888,Los Esteros Substation 230 kV
189,Encina Substation 138 kV
1891,Fibreboard tap 115 kV
1892,Contra Costa PP 230 kV
1893,Piercy Substation 115 kV
1894,Monta Vista 230 kV
1895,Cottle 230 kV
1896,Weber 60 kV
1897,Crows Landing Substation 60 kV
1899,Pittsburg Substation 230 kV
19,Crestwood Substation 69 kV
190,Otay Mesa Energy Center 230kV Substation
1900,Martin 115 kV
1901,Atlantic Substation 230 kV
1902,Contra Costa Substation 230 kV
1903,Westly-Quinto 230 kV
1904,Bellota 115 kV
1905,Millbrae 60 kV
1906,Los Esteros 230 kV
1907,Crow Creek Switching Station 60 kV
1908,Sobrante - Standard Oil Switching Stn #1 115  kV Line
1909,Oakland J - Grant 115 kV line
191,Penasquistos Old Town 230kV transmission line
1910,Dixon Landing - McKee 115 kV line
1911,Newark 230 kV
1912,Tesla 230 kV
1913,Dumbarton-Newark 115 kV Line
1914,Pittsburg 230 kV
1915,Contra Costa PP 230 kV
1917,Bellota 115 kV
1918,KEN-OKJ 60 kV
1919,Cooley Landing 60 kV
192,San Luis Rey¿Mission 230kV transmission line
1920,Schulte 115 kV
1922,Tesla 500 kV
1923,FMC Substation 115 kV
1924,Moraga 230 kV
1926,Green Valley Substation 115 kV
1927,San Benito - Hollister 115kV line
1928,Coburn-Basic Energy 60 kV Line
1929,Lammers 115 kV
1930,Sanger 115 kV
1931,West Fresno Substation 115 kV
1932,Wilson 115 kV
1933,Borden 230 kV
1938,El Capitan Substation 115 kV
1939,McCall Substation 230 kV
194,Morro Bay-Midway #1 & #2 lines 230kV
1940,Mendota 115 kV
1946,Le Grand Substation 115 kV
1947,Huron Substation 70 kV
1948,El Nido Substation 115 kV
195,Springerville Mugunden 230kV Line
1950,Kent Sw Sta-Tulare Lake 70 kV
1951,Excelsior Switching Station 115 kV
1953,Gregg 230 kV
196,Borden Substation 230kV Bus
1960,Los Banos 230 kV
1961,Gregg Substation 230 kV
1962,Gates 500 kV
1963,Wilson 230 kV
1964,Guernsey - Henrietta 70kV line
197,Otay Mesa 230kV switchyard
1971,Kearney Substation 230 kV
1972,Panoche Substation 115 kV
1973,Tranquility 230kV
1977,Chowchilla 115 kV
1978,Lamont Substation 115 kV
1979,Templeton Substation 230 kV
198,OMEC interconnection substation
1989,Kern PP Substation 115KV
199,60kV bus at Posdef QF facility
1990,Midway Substation 230 kV
1993,Bear Mountain - Bear Mountain Tap 115 kV line
1994,Lamont 115 kV
1995,Kern PP 230 kV
1996,Lamont Substation 115 kV
1997,Caliente Switching Station 230 kV
1A,Otay Mesa Switchyard 230 kV
2,Contra Costa Power Plant 230 kV bus
20,Whirlwind 220kV
200,Mira Loma Substation
2001,Kern PP 230 kV
2006,7th Standard 115 kV
2007,Diablo Canyon Switching Station 500 kV
2009,Callender SW STA 115 kV
201,Pala Substation 69 kV
2012,Morro Bay 230 kV
2014,Diablo Canyon 500 kV
2018,Arco-Carneras 70 kV Line
202,Cool Water-Kramer #1 230kV line
2020,Diablo Canyon Substation 500 kV
2024,TWL Series Compensation Station 500 kV
203,Cool Water-SEGS2-Tortilla 115kV line
2030,Etiwanda Substation 230 kV
2031,Wildlife Substation 230 kV
2032,Etiwanda Substation 230 kV
2033,Colorado River Substation 230 kV
2034,Devers 220kV
2035,Devers Substation 220 kV
2037,San Bernadino 230 kV
2039,Red Bluff Substation 230 kV
204,Tortilla-Kramer 115 kV line
2040,Mirage Substation 230 kV
2041,Red Bluff Substation 230 kV
2043,Etiwanda Substation 230 kV
2049,Devers Substation 230kV
205,El Dorado 220kV Switchyard
2053,Vista - Mira Loma 230 kV line
2054,Antelope Substation 220 kV
2056,Pardee-Vincent No1 230kV Line
2058,Rector Substation 230 kV
2059,Antelope Substation 230 kV
206,El Sequndo 230kV Switchyard
2060,Vincent Substation 230 kV
2062,Antelope Substation 230 kV
2064,Antelope ValleySubstation 230 kV
2066,Moorpark Substation 230 kV
2068,Rector Substation 230 kV
207,Long Beach Substation
2072,Moorpark Substation 230 kV
2073,Neenach Substation 66 kV
2074,Windhub Substation 230 kV
2076,Moorpark Substation 230 kV
208,Tracy-Herdlyn 69kV line
2082,ANTELOPE Substation 220 kV
2083,Bailey Substation 230 kV
